Dataset name: LMR Seasonal
Dataset details: lmr_seasonal v.1_0_0 tas djf
Method(s): ['LMR_seasonal']
Lat/lon or region: 31 degN -90 degE
---
Original source URL: https://atmos.uw.edu/~zilumeng/LMR_Seasonal/index.html
New reference period: 0-1 ka
Notes: Processed by PReSto (https://paleopresto.com/)
---
Time: Year (CE)
Data: temperature (degrees Celsius)
---
Year (CE),LMR_seasonal mean (degrees Celsius)
1411.00,0.08
1412.00,0.47
1413.00,0.89
1414.00,0.20
1415.00,0.22
1416.00,0.57
1417.00,0.70
1418.00,0.18
1419.00,-0.13
1420.00,0.44
1421.00,0.42
1422.00,0.57
1423.00,0.22
1424.00,0.39
1425.00,0.41
1426.00,0.45
1427.00,0.36
1428.00,0.31
1429.00,0.11
1430.00,0.44
1431.00,0.56
1432.00,0.52
1433.00,0.75
1434.00,0.70
1435.00,0.35
1436.00,0.11
1437.00,0.17
1438.00,0.15
1439.00,0.16
1440.00,0.30
1441.00,0.30
1442.00,0.47
1443.00,0.02
1444.00,-0.15
1445.00,-0.07
1446.00,-0.51
1447.00,-0.29
1448.00,0.50
1449.00,0.31
1450.00,-0.00
1451.00,-0.09
1452.00,0.65
1453.00,0.05
1454.00,0.06
1455.00,0.21
1456.00,0.32
1457.00,-0.38
1458.00,-0.18
1459.00,-0.20
1460.00,-0.14
1461.00,0.08
1462.00,0.11
1463.00,-0.02
1464.00,0.07
1465.00,-0.41
1466.00,-0.01
1467.00,-0.24
1468.00,-0.21
1469.00,0.21
1470.00,-0.35
1471.00,0.03
1472.00,0.49
1473.00,0.17
1474.00,0.42
1475.00,0.95
1476.00,0.38
1477.00,0.72
1478.00,0.37
1479.00,0.89
1480.00,0.47
1481.00,-0.14
1482.00,-0.09
1483.00,0.38
1484.00,-0.17
1485.00,-0.18
1486.00,-0.15
1487.00,0.35
1488.00,0.40
1489.00,0.26
1490.00,-0.18
1491.00,0.30
1492.00,-0.20
1493.00,0.18
1494.00,0.17
1495.00,-0.24
1496.00,0.22
1497.00,0.01
1498.00,0.14
1499.00,0.13
1500.00,0.20
1501.00,0.08
1502.00,0.01
1503.00,0.28
1504.00,0.10
1505.00,0.36
1506.00,0.05
1507.00,-0.24
1508.00,-0.29
1509.00,0.11
1510.00,-0.18
1511.00,-0.29
1512.00,0.08
1513.00,0.33
1514.00,0.26
1515.00,0.05
1516.00,0.44
1517.00,0.12
1518.00,0.34
1519.00,-0.09
1520.00,-0.19
1521.00,0.13
1522.00,0.14
1523.00,-0.61
1524.00,-0.66
1525.00,0.40
1526.00,-0.20
1527.00,-0.35
1528.00,-0.07
