Dataset name: LMR
Dataset details: lmr v.2_1_0 tas annual
Method(s): ['LMR']
Lat/lon or region: 30.0 degN -90.0 degE
---
Original source URL: https://www.ncei.noaa.gov/access/paleo-search/study/27850
New reference period: 0-1 ka
Notes: Processed by PReSto (https://paleopresto.com/)
---
Time: Year (CE)
Data: temperature (degrees Celsius)
---
Year (CE),LMR mean (degrees Celsius)
543.00,-0.31
544.00,-0.25
545.00,-0.35
546.00,-0.36
547.00,-0.26
548.00,-0.28
549.00,-0.27
550.00,-0.32
551.00,-0.24
552.00,-0.14
553.00,-0.19
554.00,-0.16
555.00,-0.08
556.00,-0.06
557.00,0.00
558.00,0.02
559.00,-0.04
560.00,-0.08
561.00,0.00
562.00,-0.05
563.00,0.04
564.00,-0.04
565.00,0.02
566.00,-0.02
567.00,-0.05
568.00,0.06
569.00,-0.13
570.00,0.01
571.00,0.13
572.00,0.08
573.00,0.05
574.00,0.06
575.00,-0.03
576.00,-0.09
577.00,-0.07
578.00,-0.08
579.00,-0.06
580.00,-0.07
581.00,-0.10
582.00,-0.07
583.00,0.01
584.00,-0.01
585.00,-0.07
586.00,0.13
587.00,0.09
588.00,0.15
589.00,0.13
590.00,0.09
591.00,0.05
592.00,0.04
593.00,0.27
594.00,0.11
595.00,0.21
596.00,-0.07
597.00,0.10
598.00,0.14
599.00,0.04
600.00,0.02
601.00,0.05
602.00,0.09
603.00,-0.03
604.00,0.08
605.00,0.09
606.00,-0.03
607.00,0.06
608.00,-0.04
609.00,-0.04
610.00,0.04
611.00,0.01
612.00,-0.06
613.00,-0.02
614.00,0.04
615.00,-0.07
616.00,0.07
617.00,-0.01
618.00,0.13
619.00,0.26
620.00,0.04
621.00,0.20
622.00,0.10
623.00,0.11
624.00,0.06
625.00,0.10
626.00,0.03
627.00,-0.26
628.00,-0.07
629.00,0.12
630.00,0.02
631.00,-0.02
632.00,-0.04
633.00,0.03
634.00,0.02
635.00,0.05
636.00,0.07
637.00,0.08
638.00,0.05
639.00,0.04
640.00,0.05
641.00,0.05
642.00,0.14
643.00,0.04
644.00,-0.05
645.00,-0.06
646.00,0.01
647.00,-0.04
648.00,0.07
649.00,0.10
650.00,0.06
651.00,-0.02
652.00,0.13
653.00,-0.02
654.00,0.10
655.00,0.14
656.00,0.13
657.00,0.15
658.00,0.16
659.00,0.14
660.00,-0.04
661.00,0.06
662.00,0.06
663.00,0.03
664.00,-0.01
665.00,0.04
666.00,0.02
667.00,0.10
668.00,-0.06
669.00,0.00
670.00,0.01
671.00,0.14
672.00,0.16
673.00,0.11
674.00,0.21
675.00,0.18
676.00,0.02
677.00,0.17
678.00,0.14
679.00,0.20
680.00,0.18
681.00,-0.01
682.00,0.10
683.00,0.13
684.00,-0.04
685.00,0.00
686.00,-0.07
687.00,-0.13
688.00,-0.19
689.00,-0.11
690.00,-0.20
691.00,-0.17
692.00,-0.21
693.00,-0.12
694.00,-0.21
695.00,-0.22
696.00,-0.20
697.00,-0.26
698.00,-0.11
699.00,-0.26
700.00,-0.04
701.00,0.03
702.00,0.02
703.00,-0.09
704.00,0.01
705.00,-0.01
706.00,0.04
707.00,0.03
708.00,0.13
709.00,-0.01
710.00,0.06
711.00,0.12
712.00,0.05
713.00,0.02
714.00,0.04
715.00,-0.02
716.00,0.01
717.00,-0.04
718.00,-0.00
719.00,0.01
720.00,-0.13
721.00,0.05
722.00,0.08
723.00,0.05
724.00,0.07
725.00,0.07
726.00,-0.05
727.00,-0.03
728.00,0.01
729.00,-0.03
730.00,-0.02
731.00,0.10
732.00,0.03
733.00,-0.00
734.00,-0.12
735.00,0.01
736.00,-0.08
737.00,-0.08
738.00,-0.02
739.00,-0.10
740.00,0.00
741.00,-0.02
742.00,0.07
743.00,-0.14
744.00,0.06
745.00,0.02
746.00,0.05
747.00,0.05
748.00,0.04
749.00,-0.05
750.00,0.02
751.00,-0.03
752.00,-0.04
753.00,0.01
754.00,0.01
755.00,-0.00
756.00,0.03
757.00,-0.13
758.00,-0.02
759.00,0.04
760.00,-0.07
761.00,0.00
762.00,0.20
763.00,0.06
764.00,0.26
765.00,0.14
766.00,0.06
767.00,0.07
768.00,-0.02
769.00,0.18
770.00,0.14
771.00,0.26
772.00,0.06
773.00,-0.00
774.00,0.12
775.00,0.08
776.00,0.07
777.00,-0.01
778.00,0.02
779.00,0.02
780.00,0.07
781.00,0.11
782.00,0.06
783.00,0.19
784.00,0.04
785.00,0.06
786.00,0.05
787.00,0.02
788.00,-0.01
789.00,0.01
790.00,-0.02
791.00,0.03
792.00,-0.06
793.00,0.02
794.00,0.09
795.00,0.11
796.00,0.01
797.00,0.06
798.00,0.02
799.00,0.00
800.00,-0.13
801.00,-0.16
802.00,-0.10
803.00,-0.03
804.00,-0.07
805.00,-0.15
806.00,-0.09
807.00,-0.12
808.00,0.03
809.00,-0.01
810.00,-0.10
811.00,-0.07
812.00,0.02
813.00,0.03
814.00,0.05
815.00,0.02
816.00,0.05
817.00,0.10
818.00,0.03
819.00,-0.02
